date,GOOGL,MSFT,FB,ORCL,INTC,CSCO,IBM,QCOM,TXN,AVGO,NVDA,ADBE,CRM,ADP,ITW,YHOO
20140528,-0.007689,-0.004479,0.000473,-0.008113,0.006365,0.004452,-0.0092,-0.002983,0.002373,-0.011702,0.008502,-0.006284,-0.018764,-0.005422,-0.002306,-0.009681
20140529,0.000193,0.008248,0.005039,0.015155,0.002976,-0.005641,0.003714,-0.000374,0.004305,0.009843,-0.001581,0.009408,0.019873,0.008749,0.002658,0.00345
20140530,0.00191,0.014874,-0.008303,-0.004265,0.013353,-0.002431,0.003265,0.003242,0.006858,-0.001695,0.002638,-0.013904,-0.032537,0.001508,-0.002305,-0.007163
20140602,-0.012788,-0.003664,-0.003475,-0.00119,-0.002196,0.006499,0.007214,0.000373,0.000213,0.013726,-0.003158,0.001549,-0.00475,-0.003765,0.004622,0.006349
20140603,-0.017419,-0.012258,-0.003329,-0.003812,0.014674,-0.004237,-0.007109,-0.000994,0.0,-0.002652,-0.004224,-0.008509,-0.027301,-0.00844,-0.00138,-0.006309
20140604,-0.001353,0.000745,0.007476,-0.002631,-0.002169,-0.007092,0.000759,-0.00597,-0.002979,0.002239,0.00106,0.001248,0.002355,0.001525,0.00334,0.002309
20140605,0.020171,0.022073,-0.002431,0.009592,0.002174,0.008163,0.007967,-0.003253,0.01174,0.003631,0.004237,0.020259,0.005874,-0.001649,0.006313,0.006047
20140606,0.001947,0.006552,-0.010857,0.012589,0.018438,0.005263,0.002097,0.009038,0.00211,-0.003339,0.003692,0.021995,0.008371,0.011563,0.009353,0.028048
20140609,0.008303,-0.005063,0.00608,0.001642,-0.00923,-0.001208,-0.000805,-0.00535,0.008,0.002234,0.001051,0.000299,-0.001737,0.004899,0.006215,0.003341
20140610,-0.004258,-0.003877,0.04596,-0.000937,0.011824,0.008065,-0.010364,-0.009631,0.00188,0.000975,0.005249,0.000448,0.026107,-0.0075,-0.001572,0.007492
20140611,-0.001408,-0.006081,0.000167,-0.002344,-0.010977,0.0016,-0.011069,0.000379,0.002502,-0.001531,0.013055,0.007467,0.004712,-0.010831,-0.002362,0.008813
20140612,-0.014097,-0.006853,-0.022665,-0.013158,0.001074,-0.015176,-0.005652,0.001641,0.00104,0.000139,0.006186,-0.013341,-0.005065,-0.003692,-0.009922,0.004095
20140613,0.001519,0.016018,0.003265,0.003333,0.068312,0.001622,0.007394,-0.002899,0.003947,-0.004738,0.001025,0.003906,0.023944,0.007157,0.004214,0.00435
20140616,-0.014366,0.006549,-0.004806,0.000237,0.004687,-0.006883,-0.00115,-0.005815,-0.004138,-0.007561,-0.003071,0.011973,0.005524,-0.00203,-0.006691,-0.057661
20140617,-0.003051,0.004337,0.003272,0.004033,-0.001999,-0.001223,-0.000494,0.006484,0.002701,0.008465,0.006674,-0.001183,0.05878,-0.005467,0.004338,-0.010916
20140618,0.018243,-0.00072,0.018633,0.011578,-0.000668,0.005306,0.007352,0.000379,-0.008081,-0.003637,-0.00102,0.082025,-0.001038,0.004986,0.005002,0.014813
20140619,0.007723,-0.003361,-0.019184,-0.007008,0.005346,0.003248,-0.004248,0.007072,0.000836,-0.004072,-0.023073,-0.001779,0.002078,-0.001908,0.005316,-0.007441
20140620,0.002708,0.004095,0.002463,-0.039755,0.003656,0.004856,-0.006947,0.001379,0.000626,0.009023,-0.010868,-0.004661,-0.006393,0.012618,0.005626,-0.018166
20140623,0.013715,0.007438,0.013488,0.006859,0.000993,-0.005236,0.00325,-0.005384,0.00292,-0.004611,-0.011622,0.003856,0.00852,-0.002895,-0.007608,-0.012041
20140624,-0.003047,-0.005835,0.005354,-0.008273,0.008932,-0.006883,-0.006918,-0.008183,-0.007696,-0.008001,-0.0155,-0.006997,-0.00931,-0.00202,-0.005299,-0.004845
20140625,0.023387,0.006827,0.026172,-0.00736,0.012459,0.007746,-0.000885,-0.009266,0.006917,0.013584,0.010315,0.000829,-0.00087,0.002403,0.00442,-0.006781
20140626,-0.00198,-0.007376,-0.004597,-0.007662,-0.003238,-0.002832,-0.001937,0.009225,-0.005204,-0.009354,-0.013434,0.00566,-0.00418,-0.001767,-0.00756,0.012331
20140627,0.001573,0.012704,0.007001,0.009464,0.004873,0.002028,0.007429,0.002793,-0.000628,-0.000282,0.001089,-0.011668,0.003673,0.004677,0.006822,0.017528
20140630,-0.001742,-0.013018,-0.004586,0.0,-0.00097,0.006073,-0.002421,0.002659,0.000628,0.015929,0.008705,0.005,0.012199,-0.002516,-0.01118,0.025693
20140701,0.011665,0.004077,0.011443,0.005922,0.002589,0.009256,0.028025,0.006692,0.014647,0.027196,0.011327,0.008983,0.019284,0.013749,-0.00217,0.006262
20140702,-0.0012,0.000717,-0.023656,0.004415,0.0,-0.001994,0.010947,0.005519,0.000412,0.003917,-0.0036,-0.003424,-0.004899,-0.001866,-0.001831,0.014993
20140703,0.003893,-0.002387,-0.002408,0.009524,0.005165,0.006392,0.000743,0.010228,0.00907,0.011572,0.008966,0.011132,-0.002546,0.004612,0.005619,0.007246
20140707,-0.003912,0.004546,-0.015085,-0.010885,-0.003532,0.001588,-0.002599,-0.002099,-0.000613,-0.008646,-0.007958,-0.012097,-0.024166,-0.001861,-0.002965,-0.017155
20140708,-0.020922,-0.005001,-0.03875,-0.00807,-0.007734,-0.006342,-0.004361,-0.002103,-0.001431,-0.015296,-0.008021,-0.021189,-0.042728,0.000373,-0.006976,-0.027872
20140709,0.008575,-0.002633,0.035214,-0.007397,0.003248,0.014759,0.00641,0.001488,0.008802,0.011446,0.030189,0.006044,-0.005283,0.0,-0.001037,0.009267
20140710,-0.005691,0.00036,-0.001501,0.00149,0.011978,0.0,-0.003821,-0.004209,-0.005783,-0.014549,-0.005495,0.001816,-0.005494,-0.004039,-0.012566,0.002296
20140711,0.011396,0.009716,0.022621,-0.004712,-0.00032,0.003145,0.001598,-0.01032,0.006021,0.000683,0.002368,0.00781,-0.001657,-0.000187,0.002919,0.014314
